"","x"
"1",10999.945543268
"2",10999.9960167143
"3",10999.9713795909
"4",5499.98849280604
"5",5499.96412286547
"6",10940.5786117372
"7",11000.1051389821
"8",10999.8967879924
"9",10999.9962856081
"10",11000.049300263
"11",10999.3816470874
"12",11000.6693433677
"13",11000.0203098918
"14",10906.9250273575
"15",10996.1635785605
"16",10999.7683610012
"17",10999.8982711651
"18",10999.9694951036
"19",10926.9435064296
"20",11000.9412609129
"21",10999.4579120452
"22",10999.7959822548
"23",10999.9575788583
"24",11000.0507586712
"25",10999.808172866
"26",11000.0586172245
"27",10558.8569097838
"28",10883.1058232767
"29",10988.8007054746
"30",10971.3887464277
"31",11000.0661811701
"32",10999.7746514469
"33",11000.2870761207
"34",10999.5640078269
"35",11000.0203580093
"36",10999.9414877192
"37",10045.6459818253
"38",10999.7971677215
"39",10942.0564772456
"40",10987.2092540246
"41",10732.8906062515
"42",6953.48158993969
"43",10944.0781836879
"44",10972.0575299199
"45",10999.9859636632
"46",10980.4252913468
"47",10878.307428958
"48",10805.179456156
"49",10402.1682943703
"50",10917.3914397908
"51",11000.0291664773
"52",10998.3543452341
"53",10967.6315764166
"54",10970.7307199846
"55",10808.3354777661
"56",10999.1504385588
"57",11000.7354306652
"58",10969.9979562505
"59",10999.519243092
"60",10955.5310455562
"61",10615.1938620956
"62",10767.2951226022
"63",10908.302676061
"64",10915.1762316061
"65",10940.9109534412
"66",10949.87264085
"67",10966.2718075774
"68",10971.9745302689
"69",11029.8941286949
"70",11041.2190428515
"71",11026.8244372587
"72",10971.6489797182
"73",10988.6564705559
"74",10931.3571634208
"75",10956.9172557915
"76",10917.5419412754
"77",11185.3439219666
"78",10803.1281957406
"79",11064.2134738625
"80",11099.8357083413
"81",10913.3741893277
"82",11104.3630989061
"83",11134.3552597837
"84",11123.699189066
"85",11147.3320522803
"86",11200.0015625961
"87",11199.8206139459
"88",11261.2751821247
"89",11301.6359819356
"90",11300.0418035549
"91",11299.8821728699
"92",11225.4728339612
"93",11200.0988734592
"94",11200.0748436525
"95",11199.9177235257
"96",11200.0237386774
"97",11199.999162811
"98",11199.9352879885
"99",11265.5105237297
"100",11299.2939386834
"101",11263.9557690373
"102",11365.3778360649
"103",11390.6877964331
"104",11387.2774776063
"105",11379.9854123984
"106",11397.1669261211
"107",11391.7850178147
"108",11196.6999397998
"109",11156.0697331422
"110",11207.4787718415
"111",11281.1764538849
"112",11318.5152363064
"113",11382.3035648388
"114",11447.7796991998
"115",11397.1800037539
"116",11440.9433334421
"117",11369.6504564031
"118",11371.5920177474
"119",11063.1136273221
"120",11323.5902720741
"121",11275.1604331807
"122",11378.4775748316
"123",11340.6717722942
"124",11388.4337364126
"125",11449.9725797583
"126",11477.9100298719
"127",11468.678539416
"128",11477.8880986206
"129",11479.5772754387
"130",11531.4437456612
"131",11303.5695205031
"132",11386.6526145271
"133",11432.6147497064
"134",11433.0593054171
"135",11434.7166269571
"136",11291.9901961631
"137",11276.5441485384
"138",11154.2750633581
"139",11317.132734854
"140",11353.5086380358
"141",11424.8820426376
"142",11183.6493514859
"143",11000.160969032
"144",11039.9136726662
"145",11000.0666134163
"146",9359.9423070978
"147",9656.01810688162
"148",9807.06179539712
"149",10007.485478007
"150",8832.29070474271
"151",9100.07585070576
"152",9772.16715712371
"153",10071.4509066038
"154",10286.9931432088
"155",10800.1962844425
"156",10617.1446213321
"157",10801.6327005457
"158",9866.55324798869
"159",10143.4547413061
"160",10598.6260989663
"161",10599.9074418047
"162",10600.0550235635
"163",10599.9808884741
"164",10508.0639936659
"165",10173.1115754587
"166",9799.96320817171
"167",9859.12913357203
"168",10613.6587446707
"169",11000.1352735025
"170",10999.9104997169
"171",10922.3587701663
"172",10484.7561953374
"173",10587.9714446965
"174",10999.8620772863
"175",11000.1468641634
"176",11000.0762492766
"177",10999.7852220606
"178",9895.96386082259
"179",9999.36436250476
"180",10819.6468758364
"181",11000.179517859
"182",10999.8461899086
"183",10999.9594858212
"184",10999.838249184
"185",11000.1507630977
"186",10925.5068003964
"187",10999.9236664948
"188",11000.0030463466
"189",9371.38902276749
"190",9123.3010186645
"191",11000.0226782339
"192",11000.1778431363
"193",11000.0325275845
"194",10244.347724129
